#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="demographic.alltrees" spec="beast.base.evolution.tree.coalescent.CompoundPopulationFunction">
#    <parameter id="popSizes.alltrees" lower="0.0" name="populationSizes" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#    <populationIndicators id="indicators.alltrees" spec="beast.base.inference.parameter.BooleanParameter">false</populationIndicators>
#    <itree id="treeIntervals.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.TreeIntervals">
#        <tree id="Tree.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.Tree">
#            <trait id="dateTrait.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.TraitSet" traitname="date" value="HRTV-23_T_S_2019=2019,HRTV-26_T_S_2019=2019,HRTV-404_T_S_2021=2021,HRTV-100_T_S_2022=2022,HRTV-187_T_S_2022=2022,HRTV-056F_T_S_2023=2023,HRTV-504_T_S_2019=2019,HRTV-432R_T_S_2023=2023,HRTV-642T_T_S_2023=2023,JX005843_H_S_MO_2009=2009,OQ688983.1_T_S_MO_2012=2012,OQ688989.1_T_S_MO_2012=2012,OQ688986.1_T_S_KS_2015=2015,OQ688993.1_H_S_OK_2017=2017,MZ440341_T_S_NY_2018=2018,MZ440344_T_S_NY_2018=2018,NC_024496_H_S_MO_2009=2009,KJ740146_H_S_TN_2013=2013,OQ688998.1_H_S_KY_2017=2017,OQ689001.1_H_S_MO_2017=2017">
#                <taxa id="TaxonSet.HRTV_S_BEAST" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxa>
#            </trait>
#            <taxonset idref="TaxonSet.HRTV_S_BEAST"/>
#        </tree>
#    </itree>
#</input>
#
Sample	popsSize0	demographic.alltrees.times.0	demographic.alltrees.times.1	demographic.alltrees.times.2	demographic.alltrees.times.3	demographic.alltrees.times.4	demographic.alltrees.times.5	demographic.alltrees.times.6	demographic.alltrees.times.7	demographic.alltrees.times.8	demographic.alltrees.times.9	demographic.alltrees.times.10	demographic.alltrees.times.11	demographic.alltrees.times.12	demographic.alltrees.times.13	demographic.alltrees.times.14	demographic.alltrees.times.15	demographic.alltrees.times.16	demographic.alltrees.times.17	demographic.alltrees.times.18
50000	0:1.3055595546312788	0.7059336491925009	1.2181172751469977	1.7046045904649056	2.879934809247742:4.9E-324	2.879934809247742:4.1450722186982285E-17	4.4678881104880555:4.327180631780067	4.497089027122381:5.491925E-317	4.497089027122381:6.052876646318959E-9	5.9976328790071:11.205159615861005	8.203547584939058	10.35873567002157	10.884250824917464	11.391130947445026	11.825929275156753	12.25859517146612:2.8007972998991106	12.632923707150084	14.146610726459864	15.370931853658849	15.370931853658849:2.0E-323
55000	0:6.797163210323693	0.9029555701117361	1.067623987656587	1.4531657024472024	3.0319851570279113:4.9E-324	3.0319851570279113:5.2899318506755023E-17	4.728675944592968:9.961369930845834	4.947789779090457:1.14826E-319	4.947789779090457:1.3517992158751592E-11	6.259288927117407:23.960157681393497	10.829571937534546	12.180656031109587	12.218977063554034	12.85044500068447	13.872796305208478	14.907974199560865	15.203245390708254	16.74293566265377	18.39157854395083	18.39157854395083:4.9E-324
60000	0:5.82083477493859	0.17657149120715357	1.4308024229897858	1.6258951388974068	3.0715588052797917:1.0E-323	3.0715588052797917:9.105596679029214E-16	4.112606608112282:5.2308567375841495	4.952542454148834:1.6088E-319	4.952542454148834:2.74481612631902E-11	5.365334733710809:15.425688354054287	8.956723299223274	10.288998442419945	12.119069860315573	13.390922404980936	14.069152025917495	14.089689393737373	14.173619215293433	15.09944347519868	17.585383020775247	17.585383020775247:4.9E-324
65000	0:3.3745945855455273	1.0358344510497826	1.3403503185907242	2.253041933000321	3.0715588052797917:4.9E-324	3.0715588052797917:3.9325082842341004E-16	4.353878906102075:2.9504547587537586	4.874750111808575:2.006368E-317	4.874750111808575:3.2323647514403726E-9	5.448676919155174:7.999376141149779	10.804172233201705	11.2138619247261	11.291079338731574	11.755601668478766	11.825037946952369	12.73849034059365	13.754081845366095	14.080351511108187	18.061179078275963	18.061179078275963:2.5E-323
70000	0:4.727454009764114	1.0626106283606747	1.2641004822164967	2.31985006376968	3.0739711870858346:4.9E-324	3.0739711870858346:2.728864589157208E-16	4.114283121476818:1.3766594728449224	4.593120259643884:6.0769712E-316	4.593120259643884:9.527460836490104E-8	5.4132313759130755:21.735780873376456	10.919211134304286	11.596456824070604	11.851402695475779	13.618805375528547	13.991537705005591	14.027517135163066	14.205861832978158	14.608991345056618	16.203582486167257	16.203582486167257:4.9E-324
75000	0:2.0332316873845664	0.3881246734497544	1.1377342589522232	1.3152371628507697:1.2357188616896941	3.217939950918118:2.0E-323	3.217939950918118:2.746720923329877E-16	4.158108451923231:1.751742628118529	4.820756805710187:1.3507967E-317	4.820756805710187:7.138816763425086E-10	6.796728457894581:11.384668039236	8.539923495586986	11.274410181121116	12.200293909777024	12.522381598790131	13.656209080635527	14.242290116531366	14.249199246703082	14.385986947668098	18.241707999933276	18.241707999933276:2.5E-323
80000	0:2.342424758841948	0.35512069607272617	1.0807603283098721	1.1815488638958291	2.940156191497797:4.9E-324	2.940156191497797:3.9270507982480324E-16	4.0991076057888005:0.8523156613124667	4.364443526892965:1.753814E-318	4.364443526892965:1.4384515457548357E-10	6.087103344278281:5.368315350522055	8.007650569009197	8.559134290642774	10.254052966887363	10.301666209505147	11.408023849099717	11.673795250451764	12.113377732722391	14.090337132244013	17.44156077548015	17.44156077548015:4.9E-324
85000	0:9.264386735164758	0.9293715970130819	1.0574865582272825	1.9095453867883279	2.8620067485842924:4.9E-324	2.8620067485842924:5.923715529618406E-16	4.280200727038011:6.098491548600893	4.621185655520071:1.0221037E-317	4.621185655520071:1.1971275357435095E-9	6.244520645215528:7.488404666172072	8.99283498470088	9.792215474769328	10.892216661914885	11.22350640775066	12.190365633293307	13.868681691861468	14.445080200806894	15.288400625875294	18.83153366076458	18.83153366076458:4.9E-324
90000	0:11.084744699479248	1.2950516526200853	1.4108616229116886	1.66861293249027	2.8882379089986996:1.0E-323	2.8882379089986996:7.684303671116953E-16	4.097049786719731:14.599587261582128	4.774559250625015:1.784758E-317	4.774559250625015:2.6538001485364194E-9	6.135103195057635:15.657963667947401	11.242236695528701	11.602070004392777	12.98109180916717	13.629185445561362	14.005595393680906	14.39221937800388	15.097040094147513	15.228314013037714	19.671534512491583	19.671534512491583:4.9E-324
95000	0:11.937711453529577	1.091017511511634:1.7991795642008859	1.227101433600208	1.8657707056991857	2.787738077977412:2.96E-322	2.787738077977412:2.3713325796711433E-14	4.146334971048378:7.023639333106325	4.557814277148216:1.11965412E-315	4.557814277148216:4.473637960497587E-8	7.007971239985169:61.09806965738175	8.970619275804363	11.403652972643627	11.524370760106553:23.53930335256989	14.378722141617207	15.959196072496503	16.615713555389238	17.47111193594798	17.841610821097067	20.74891764061369	20.74891764061369:1.0E-323
